# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	16419
#@/user_id	2a0bc472-4445-4d93-8ddf-986d757ebe5b
a 	啊	c=94 d=1.01937 t=16418
wen chu 	问出	c=1 d=1.72996e-07 t=16418
wen dang 	文档	c=9 d=0.0688984 t=16418
wen du 	温度	c=1 d=1 t=9486
wen guo 	问过	c=2 d=0.240508 t=16418
wen jian 	文件	c=24 d=0.153643 t=16418
wen juan 	问卷	c=2 d=1.98511 t=14506
wen ku 	文库	c=1 d=1 t=6673
wen le 	问了	c=3 d=0.000422213 t=16418
wen ming 	文明	c=2 d=1.93239 t=4660
wen quan 	温泉	c=12 d=0.0593199 t=16418
wen shui 	温水	c=1 d=1 t=4771
wen ti 	问题	c=20 d=0.429267 t=16418
wen wen 	问问	c=1 d=4.82155e-07 t=16418
wen yi xia 	问一下	c=7 d=1.00356 t=15914
wen yuan 	文远	c=1 d=1 t=13136
wen zhang 	文章	c=5 d=0.755806 t=16418
wen zi 	文字	c=2 d=1.67017e-05 t=16418
wo 	我	c=365 d=15.1283 t=16418
wo ba 	我把	c=2 d=1.02625 t=9476
wo bu 	我不	c=0 d=1.40251e-10 t=16418
wo bu qu 	我不去	c=1 d=1.40954e-09 t=16418
wo dao 	我到	c=1 d=0.105928 t=16418
wo de 	我的	c=21 d=0.267269 t=16418
wo di 	我弟	c=2 d=3.3923e-09 t=16418
wo dou 	我都	c=4 d=0.348313 t=16418
wo gei 	我给	c=1 d=1 t=15337
wo guo 	我国	c=1 d=2.52032e-05 t=16418
wo hai 	我还	c=2 d=1 t=12658
wo he 	我和	c=1 d=1 t=4916
wo hui 	我会	c=3 d=1 t=14165
wo jia 	我家	c=1 d=1.88831e-08 t=16418
wo jie shou 	我接收	c=1 d=1 t=10027
wo ju ran 	我居然	c=1 d=0.00292342 t=16418
wo jue de 	我觉得	c=3 d=1.09537 t=12868
wo kan 	我看	c=1 d=0.00132016 t=16418
wo kan kan 	我看看	c=1 d=1 t=6882
wo lian 	我连	c=1 d=0.179066 t=16418
wo mei 	我没	c=2 d=4.39519e-06 t=16418
wo men 	我们	c=15 d=0.00058268 t=16418
wo ming tian 	我明天	c=1 d=1 t=11239
wo qu 	我去	c=0 d=0.1 t=16409
wo qu song 	我去送	c=1 d=1 t=16410
wo shi 	我是	c=1 d=1 t=14323
wo shuo 	我说	c=1 d=1 t=5847
wo tai 	我太	c=2 d=0.0492917 t=16418
wo tui 	卧推	c=1 d=1 t=4972
wo wan quan 	我完全	c=1 d=0.0735345 t=16418
wo xu cun 	我需寸	c=1 d=0.0792617 t=16418
wo ye 	我也	c=3 d=0.0212797 t=16418
wo yi 	我一	c=0 d=0.1 t=10395
wo yi ban 	我一般	c=1 d=1 t=10396
wo yi ge 	我一个	c=1 d=1 t=5486
wo you 	我有	c=2 d=1.88343e-07 t=16418
wo yu dao 	我遇到	c=1 d=1 t=4687
wo zhao 	我找	c=0 d=0.1 t=6582
wo zhao dao 	我找到	c=1 d=1 t=6583
wo zhao zhao 	我找找	c=1 d=1 t=8352
wo zhe bian 	我这边	c=1 d=1 t=9915
wo zhe ge 	我这个	c=1 d=1 t=5646
wo zhe me 	我这么	c=1 d=0.0977834 t=16418
wo zheng li 	我整理	c=1 d=1 t=14586
wo zhi 	我只	c=1 d=1 t=14980
wo zhu yao 	我主要	c=1 d=1 t=5998
wo zi ji 	我自己	c=1 d=1 t=11782
wo zou 	我走	c=1 d=1.14236e-07 t=16418
wu 	乌	c=1 d=1 t=15127
wu 	五	c=3 d=0.00790705 t=16418
wu 	吴	c=1 d=1 t=15524
wu 	屋	c=1 d=1 t=15148
wu 	无	c=17 d=0.323065 t=16418
wu 	武	c=3 d=1.99005 t=13807
wu bu liang 	无不良	c=1 d=1.79188e-09 t=16418
wu can 	午餐	c=4 d=0.00730685 t=16418
wu cheng 	吴城	c=1 d=1 t=4912
wu fa 	无法	c=19 d=0.0003224 t=16418
wu fan 	午饭	c=3 d=2.45275e-06 t=16418
wu han 	武汉	c=4 d=0.000542414 t=16418
wu hui 	误会	c=1 d=0.389912 t=16418
wu li 	五里	c=1 d=1 t=14549
wu li 	物理	c=2 d=1.09627e-05 t=16418
wu liu 	五六	c=1 d=1 t=5377
wu sun 	无损	c=1 d=1 t=8142
wu tu zhi 	无图纸	c=1 d=1 t=14498
wu xian 	无线	c=13 d=0.0119148 t=16418
wu xian er jin 	五险二金	c=1 d=1.16544e-07 t=16418
wu xian tiao shi 	无线调试	c=4 d=0.000831753 t=16418
wu xu 	无需	c=2 d=1 t=8572
wu ye 	物业	c=1 d=1 t=14029
wu yi 	五一	c=2 d=1.0246 t=16382
wu yi 	无疑	c=0 d=0.1 t=13943
wu you 	无忧	c=2 d=0.0029528 t=16418
wu yuan 	物原	c=2 d=5.87854e-05 t=16418
wu yue 	五月	c=6 d=0.0599047 t=16418
wu yue di 	五月底	c=2 d=1 t=16199
wu zhong 	五种	c=2 d=1.9802 t=4968
wu zi yuan 	无资源	c=13 d=1 t=16293
wu zu 	五组	c=1 d=1 t=9729
x zhou 	X轴	c=1 d=8.9413e-08 t=16418
xi 	洗	c=1 d=2.2519e-09 t=16418
xi 	西	c=7 d=1.00333 t=13181
xi chou wa zi 	洗臭袜子	c=1 d=2.02034e-09 t=16418
xi ge 	洗个	c=1 d=1 t=6303
xi guan 	习惯	c=3 d=0.748791 t=16418
xi hua 	细化	c=1 d=1 t=4623
xi jie 	细节	c=1 d=1 t=11037
xi lan 	稀烂	c=2 d=0.189191 t=16418
xi qi 	稀奇	c=1 d=1 t=8223
xi shan 	西山	c=2 d=1.99501 t=15092
xi shou 	吸收	c=2 d=0.000219423 t=16418
xi shou 	洗手	c=1 d=1 t=12833
xi shu 	稀疏	c=1 d=1 t=13058
xi song 	稀松	c=1 d=1 t=5715
xi su 	习俗	c=2 d=0.000227656 t=16418
xi tong 	系统	c=32 d=1.41776 t=16418
xi wan 	洗碗	c=1 d=2.14527e-09 t=16418
xi wang 	希望	c=2 d=1.69073 t=14949
xi wang da jia 	希望大家	c=1 d=1 t=9059
xi yang 	夕阳	c=1 d=4.04748e-07 t=16418
xi zang 	西藏	c=1 d=1.89255e-05 t=16418
xi ze 	细则	c=1 d=1 t=12791
xi zheng 	西征	c=2 d=0.000191016 t=16418
xia 	下	c=18 d=0.0944208 t=16418
xia ban nian 	下半年	c=2 d=1.96561 t=9625
xia gao 	瞎搞	c=3 d=0.951777 t=16418
xia ge yue 	下个月	c=1 d=1.83724e-09 t=16418
xia hao 	下好	c=1 d=1 t=9497
xia la 	下拉	c=5 d=1 t=14541
xia lai 	下来	c=4 d=0.000649051 t=16418
xia lie 	下列	c=1 d=1 t=12753
xia mang 	瞎忙	c=1 d=1 t=9844
xia mian 	下面	c=1 d=1 t=15536
xia po lu 	下坡路	c=2 d=1.94581e-08 t=16418
xia shu 	下属	c=1 d=6.625e-10 t=16418
xia wu 	下午	c=9 d=0.582748 t=16418
xia xia 	下辖	c=1 d=1 t=11433
xia yue 	下月	c=1 d=1 t=10105
xia zai 	下载	c=10 d=0.00203968 t=16418
xia zhou 	下周	c=1 d=1 t=5199
xian 	先	c=6 d=3.46633e-07 t=16418
xian 	县	c=9 d=1.00167 t=12885
xian 	咸	c=1 d=1 t=14204
xian 	现	c=1 d=1.00937 t=14359
xian 	线	c=5 d=1.42109 t=13882
xian an 	咸安	c=60 d=0.327871 t=16418
xian an qu 	咸安区	c=11 d=0.00521402 t=16418
xian chang 	现场	c=1 d=1 t=7526
xian cheng 	现成	c=0 d=0.1 t=9760
xian fu 	先富	c=1 d=1 t=4982
xian he 	先河	c=2 d=6.46439e-05 t=16418
xian hou 	先后	c=1 d=1.44174e-10 t=16418
xian ka 	显卡	c=2 d=1 t=9686
xian lu 	线路	c=1 d=2.96196e-10 t=16418
xian min 	先民	c=2 d=0.000185371 t=16418
xian mu 	羡慕	c=2 d=0.0428521 t=16418
xian ning 	咸宁	c=43 d=0.248991 t=16418
xian ning shi 	咸宁市	c=7 d=0.114285 t=16418
xian qi 	嫌弃	c=1 d=0.12307 t=16418
xian shi 	显示	c=6 d=0.000589372 t=16418
xian shi 	现实	c=1 d=0.00557201 t=16418
xian shi qi 	显示器	c=15 d=0.246958 t=16418
xian ti gong 	现提供	c=1 d=1 t=14360
xian xi tong 	县系统	c=1 d=1 t=11224
xian you 	现有	c=2 d=1.85642 t=13486
xian zai 	现在	c=44 d=1.79449 t=16418
xian zhi 	限制	c=3 d=0.255381 t=16418
xian zhuang 	现状	c=2 d=1.00001 t=15229
xian zou 	先走	c=1 d=1 t=5721
xiang 	乡	c=4 d=1.23224 t=13208
xiang 	像	c=4 d=0.363262 t=16418
xiang 	向	c=1 d=1 t=8519
xiang 	响	c=1 d=1 t=6839
xiang 	想	c=12 d=0.17268 t=16418
xiang 	相	c=1 d=0.00148848 t=16418
xiang 	项	c=12 d=2.84177 t=15456
xiang bi 	相比	c=1 d=0.644036 t=16418
xiang bu kai 	想不开	c=1 d=1 t=12990
xiang ce 	相册	c=1 d=1 t=10705
xiang cun 	乡村	c=22 d=1.68518 t=16402
xiang dui 	相对	c=2 d=1 t=11029
xiang fa 	想法	c=5 d=1 t=12636
xiang ge 	想个	c=1 d=1 t=8975
xiang guan 	相关	c=10 d=0.0655037 t=16418
xiang guan de 	相关的	c=1 d=1 t=15305
xiang guan shi yi 	相关事宜	c=1 d=1 t=13489
xiang guan ying fu 	相关营服	c=1 d=1 t=13622
xiang he 	祥和	c=1 d=0.031117 t=16418
xiang hu 	相互	c=1 d=1 t=14963
xiang ji 	相机	c=8 d=2.57564e-09 t=16418
xiang jin 	想进	c=1 d=1 t=5765
xiang mai 	想买	c=1 d=1 t=9411
xiang mu 	项目	c=56 d=2.25924 t=16418
xiang mu jing li 	项目经理	c=1 d=1 t=15220
xiang pi 	橡皮	c=1 d=5.06789e-05 t=16418
xiang pi mei 	相媲美	c=1 d=5.0933e-05 t=16418
xiang qu 	想去	c=1 d=1 t=5961
xiang tong 	相同	c=4 d=1.97531 t=15441
xiang xi 	详细	c=1 d=1 t=7371
xiang xia 	乡下	c=1 d=1 t=9587
xiang yang 	向阳	c=1 d=1 t=13757
xiang yang hu 	向阳湖	c=2 d=1.99005 t=11177
xiang yao 	想要	c=1 d=4.08816e-07 t=16418
xiang ying 	相应	c=1 d=0.1 t=15518
xiang ying guo jia 	相应国家	c=1 d=1 t=15519
xiang zhen 	乡镇	c=25 d=1.00063 t=15574
xiang zhuang 	相撞	c=1 d=1 t=15228
xiang zi 	箱子	c=1 d=1 t=11639
xiao 	小	c=7 d=0.00017956 t=16418
xiao 	晓	c=1 d=1 t=14620
xiao 	霄	c=5 d=1.25073 t=8940
xiao bu 	小步	c=1 d=1 t=7319
xiao chi 	小吃	c=1 d=1 t=11493
xiao de 	小的	c=1 d=1 t=14999
xiao du 	消毒	c=1 d=1 t=12783
xiao du ji 	消毒剂	c=1 d=1 t=12780
xiao fang jian 	小房间	c=2 d=3.66069e-08 t=16418
xiao fei 	消费	c=2 d=1.90484 t=12895
xiao gan 	孝感	c=3 d=7.89778e-08 t=16418
xiao hao 	消耗	c=2 d=1 t=13928
xiao he 	小鹤	c=2 d=3.26745e-10 t=16418
xiao heng tiao 	小横条	c=1 d=1 t=5098
xiao hua 	小华	c=3 d=1.01133 t=15929
xiao hui 	小会	c=1 d=1 t=13141
xiao lang 	小狼	c=0 d=1.62556e-11 t=16418
xiao lang hao 	小狼毫	c=1 d=1.63371e-10 t=16418
xiao li 	肖莉	c=3 d=1.40317 t=9134
xiao lv 	效率	c=1 d=1 t=16106
xiao mai bu 	小卖部	c=1 d=2.20452e-06 t=16418
xiao mi 	小米	c=4 d=8.5464e-06 t=16418
xiao mu biao 	小目标	c=1 d=1 t=4629
xiao nei 	校内	c=0 d=3.69083e-11 t=16418
xiao nei huo dong 	校内活动	c=1 d=3.70933e-10 t=16418
xiao ping 	小平	c=1 d=2.30599e-06 t=16418
xiao qu 	小区	c=19 d=0.693308 t=16418
xiao shi 	小时	c=7 d=1.18957 t=16418
xiao shi 	消失	c=2 d=1.10592e-08 t=16418
xiao shi hou 	小时候	c=1 d=2.25488e-07 t=16418
xiao wei 	小伟	c=2 d=1.00239 t=13313
xiao xi 	消息	c=5 d=1.00109 t=14692
xiao xue 	小学	c=1 d=1 t=14403
xiao yi 	效益	c=1 d=1.5931e-08 t=16418
xiao zhao 	校招	c=4 d=1.65834e-06 t=16418
xiao zhen 	小镇	c=1 d=2.16646e-07 t=16418
xiao zhong 	小众	c=0 d=0.1 t=6569
xiao zhong ruan jian 	小众软件	c=1 d=1 t=6570
xie 	些	c=6 d=7.77319e-08 t=16418
xie 	写	c=11 d=0.00873865 t=16418
xie 	血	c=1 d=1.11415e-07 t=16418
xie 	谢	c=1 d=1 t=15096
xie de 	写的	c=1 d=0.000889368 t=16418
xie hao zhuan wang 	携号转网	c=1 d=0.0405589 t=16418
xie tiao 	协调	c=12 d=1.00076 t=16333
xie tong 	协同	c=1 d=1.58926e-09 t=16418
xie xie 	写写	c=1 d=1 t=5977
xie xie 	谢谢	c=17 d=0.0664294 t=16418
xie yi 	协议	c=4 d=3.62633e-06 t=16418
xie zai 	卸载	c=3 d=0.97531 t=16418
xie zhu 	协助	c=4 d=1.01502 t=15875
xie zuo 	写作	c=3 d=1.96561 t=10875
xie zuo 	协作	c=1 d=1 t=9712
xin 	信	c=2 d=1.17104e-08 t=16418
xin 	新	c=8 d=1 t=15798
xin 	欣	c=1 d=1 t=11754
xin 	芯	c=3 d=2.86013 t=11698
xin 	薪	c=1 d=0.000343955 t=16418
xin de 	新的	c=3 d=1 t=12144
xin guan 	新冠	c=3 d=2.56401 t=12830
xin guan fei yan 	新冠肺炎	c=1 d=1 t=12805
xin hao 	信号	c=2 d=3.70216e-07 t=16418
xin jian 	新建	c=3 d=1.2865 t=16209
xin jiang 	新疆	c=2 d=0.000170808 t=16418
xin ku 	辛苦	c=4 d=5.67182e-06 t=16418
xin li 	心理	c=3 d=4.85779e-09 t=16418
xin pian 	芯片	c=1 d=3.16088e-10 t=16418
xin ren 	新人	c=1 d=1 t=9241
xin ru qun 	新入群	c=1 d=1 t=10565
xin shou 	新手	c=1 d=0.140156 t=16418
xin suan 	心酸	c=1 d=1 t=15490
xin tai 	心态	c=1 d=5.45128e-10 t=16418
xin wen 	新闻	c=1 d=0.0413782 t=16418
xin xi 	信息	c=22 d=0.000929048 t=16418
xin xin 	欣欣	c=7 d=0.00946876 t=16418
xin yi dai 	新一代	c=2 d=1.57695 t=10588
xin yi yuan 	新医院	c=1 d=1 t=10131
xin yong 	新用	c=0 d=0.1 t=5919
xin yong hu 	新用户	c=1 d=1 t=5920
xin zeng 	新增	c=3 d=2.25789 t=15960
xin zi 	薪资	c=1 d=0.000710174 t=16418
xing 	型	c=1 d=1 t=6348
xing 	性	c=6 d=9.08505e-06 t=16418
xing 	星	c=2 d=1.43387 t=14504
xing 	行	c=21 d=0.0812682 t=16418
xing ba 	行吧	c=4 d=0.00775048 t=16418
xing bu xing 	行不行	c=1 d=1 t=5057
xing cheng 	形成	c=2 d=0.000229944 t=16418
xing dong 	行动	c=3 d=1.00053 t=6405
xing hao 	型号	c=1 d=1 t=9674
xing jia bi 	性价比	c=1 d=1 t=6279
xing le 	行了	c=1 d=1 t=8154
xing ming 	姓名	c=2 d=1.94649 t=7185
xing neng 	性能	c=1 d=1 t=9617
xing qi 	星期	c=6 d=0.175443 t=16418
xing qi ji 	星期几	c=1 d=1 t=8749
xing qi liu 	星期六	c=1 d=0.0581343 t=16418
xing qi si 	星期四	c=1 d=0.0575558 t=16418
xing qi tian 	星期天	c=1 d=0.0584257 t=16418
xing qi wu 	星期五	c=1 d=0.0578443 t=16418
xing shi 	形势	c=1 d=0.0261214 t=16418
xing ye 	兴业	c=1 d=1 t=14612
xing zheng 	行政	c=9 d=1.49314 t=16297
xing zheng cun 	行政村	c=7 d=2.13518 t=15996
xiong 	熊	c=3 d=1 t=14394
xiong 	雄	c=7 d=2.00574 t=15300
xiong ge 	雄哥	c=2 d=1.00024 t=10001
xiong hao 	熊浩	c=16 d=1.387 t=16118
xiu 	修	c=3 d=2.69353e-10 t=16418
xiu ding 	修订	c=3 d=3.0291e-09 t=16418
xiu dou 	秀逗	c=1 d=1 t=5154
xiu fu 	修复	c=1 d=1 t=10234
xiu gai 	修改	c=24 d=1.97034 t=16418
xiu xi 	休息	c=2 d=0.13068 t=16418
xiu xian 	休闲	c=2 d=0.0214936 t=16418
xiu xian 	修仙	c=0 d=0.000208081 t=16418
xiu xiu 	咻咻	c=0 d=0.1 t=5173
xiu xiu man 	咻咻满	c=1 d=1 t=5174
xu 	徐	c=4 d=1 t=15146
xu 	续	c=0 d=0.0180866 t=16418
xu 	虚	c=1 d=1 t=14084
xu 	许	c=8 d=1.05334 t=14986
xu 	需	c=14 d=1.04811 t=16332
xu bu qi 	续不起	c=1 d=0.181772 t=16418
xu duo 	许多	c=2 d=1 t=13457
xu hao 	序号	c=3 d=1.0002 t=13381
xu he shi 	需核实	c=1 d=1 t=16186
xu lie 	序列	c=1 d=0.00204983 t=16418
xu mei 	徐美	c=1 d=1 t=10237
xu ni 	虚拟	c=2 d=1.85105e-06 t=16418
xu ni ji 	虚拟机	c=1 d=9.98267e-10 t=16418
xu ni zhu ji 	虚拟主机	c=1 d=4.46313e-10 t=16418
xu qiu 	需求	c=35 d=1.00377 t=16329
xu xie tiao 	需协调	c=5 d=1.04559 t=15122
xu yao 	需要	c=29 d=2.97777 t=16418
xu zai 	须在	c=2 d=1.96079 t=11124
xu zhi peng 	许志鹏	c=1 d=1 t=14785
xuan 	宣	c=1 d=1 t=13364
xuan 	玄	c=1 d=1 t=4976
xuan 	选	c=1 d=1 t=10411
xuan chuan 	宣传	c=1 d=3.26446e-07 t=16418
xuan guan 	玄关	c=0 d=0.1 t=13362
xuan guan gong zuo 	玄关工作	c=1 d=1 t=13363
xuan hu 	玄乎	c=1 d=4.67905e-07 t=16418
xuan ran 	渲染	c=1 d=0.000296045 t=16418
xuan xiang 	选项	c=6 d=0.000422783 t=16418
xuan ze 	选择	c=5 d=0.000774781 t=16418
xuan zhuan 	旋转	c=1 d=6.3488e-09 t=16418
xue 	学	c=9 d=0.187308 t=16418
xue 	薛	c=2 d=1.00095 t=16081
xue 	雪	c=3 d=2.85551 t=11721
xue de 	学的	c=1 d=3.77385e-07 t=16418
xue ji 	学籍	c=2 d=1.82672e-08 t=16418
xue li 	学历	c=2 d=5.01918e-09 t=16418
xue shang jia shuang 	雪上加霜	c=1 d=0.0263839 t=16418
xue wei 	学位	c=8 d=5.34162e-08 t=16418
xue wei wang 	学位网	c=1 d=1.27849e-08 t=16418
xue xi 	学习	c=5 d=0.95219 t=16418
xue xiao 	学校	c=3 d=1.11726e-06 t=16418
xue xiao bu xing 	学校不行	c=1 d=4.23378e-07 t=16418
xue xin wang 	学信网	c=1 d=1.25946e-08 t=16418
xue xue 	学学	c=1 d=0.191092 t=16418
xue yuan 	学院	c=10 d=0.00129114 t=16418
xun ji 	熏鸡	c=1 d=5.19796e-09 t=16418
xun wen 	询问	c=1 d=1 t=8969
y zhou 	Y轴	c=1 d=9.03116e-08 t=16418
ya 	丫	c=2 d=0.127454 t=16418
ya li 	压力	c=1 d=1 t=5696
ya lu zang bu jiang 	雅鲁藏布江	c=1 d=1.92115e-05 t=16418
ya qi 	雅琪	c=1 d=0.00235786 t=16418
ya shua 	牙刷	c=1 d=0.054204 t=16418
ya suo 	压缩	c=3 d=2.8509 t=14775
ya zhou 	亚洲	c=1 d=1 t=6371
yan 	严	c=1 d=1 t=13165
yan 	烟	c=1 d=0.00250366 t=16418
yan 	眼	c=2 d=0.328551 t=16418
yan chi 	延迟	c=0 d=0.00241131 t=16418
yan hai 	沿海	c=1 d=7.44785e-05 t=16418
yan jiu 	研究	c=4 d=4.41791e-07 t=16418
yan jiu sheng 	研究生	c=1 d=6.13044e-09 t=16418
yan shou 	验收	c=22 d=4.36709 t=16372
yan xia cun 	堰下村	c=1 d=1 t=10301
yan zheng 	验证	c=10 d=0.719258 t=16418
yan zheng ma 	验证码	c=1 d=1 t=10503
yang 	杨	c=26 d=1.05799 t=14987
yang 	样	c=2 d=0.000505481 t=16418
yang fan 	扬帆	c=1 d=1 t=14629
yang hai 	杨海	c=2 d=1 t=13676
yang hai tao 	杨海涛	c=16 d=1.42115 t=14220
yang he 	洋河	c=1 d=1 t=13980
yang hong 	杨洪	c=1 d=1 t=13163
yang lao 	养老	c=1 d=1 t=8310
yang mao 	羊毛	c=2 d=0.0936707 t=16418
yang sheng 	养生	c=1 d=1 t=15036
yang xiao wei 	杨小伟	c=2 d=1.00011 t=10836
yang zi 	样子	c=2 d=1.00641 t=8290
yao 	要	c=45 d=2.43647 t=16418
yao bu shi 	要不是	c=1 d=4.3522e-08 t=16418
yao da 	要打	c=1 d=0.035437 t=16418
yao dian 	药店	c=1 d=1.54575e-06 t=16418
yao he 	要和	c=1 d=1 t=4922
yao mai 	要买	c=1 d=1 t=9175
yao qiu 	要求	c=9 d=0.00417284 t=16418
yao qu 	要去	c=2 d=0.856415 t=16418
yao shi 	要是	c=2 d=1 t=8386
yao wan 	要玩	c=1 d=1 t=6343
yao wo 	要我	c=1 d=1 t=7355
yao zuo 	要做	c=1 d=1 t=12451
ye 	也	c=35 d=1.29026 t=16418
ye 	冶	c=1 d=1 t=4614
ye 	页	c=2 d=1.98511 t=4618
ye bu 	也不	c=0 d=0.1 t=11891
ye bu hui 	也不会	c=1 d=1 t=15017
ye bu xing 	也不行	c=1 d=1 t=11892
ye bu zhi dao 	也不知道	c=1 d=1 t=14787
ye da 	也大	c=1 d=1 t=5407
ye fang bian 	也方便	c=1 d=1 t=6245
ye ji 	业绩	c=1 d=1 t=6082
ye jian 	夜间	c=6 d=1.88265 t=6832
ye jiu 	也就	c=1 d=1.64162e-08 t=16418
ye man 	野蛮	c=3 d=2.84191 t=4663
ye mei 	也没	c=0 d=0.1 t=16319
ye mei fa 	也没法	c=1 d=1 t=9368
ye mei kan dao 	也没看到	c=1 d=1 t=16320
ye mei kui 	也没亏	c=1 d=1 t=9327
ye mei you 	也没有	c=1 d=1 t=6309
ye mian 	页面	c=1 d=5.34152e-06 t=16418
ye neng 	也能	c=1 d=1.73443e-08 t=16418
ye qing 	也请	c=1 d=1 t=14962
ye shi 	也是	c=7 d=0.00433948 t=16418
ye suan 	也算	c=1 d=1 t=5901
ye wu 	业务	c=3 d=1 t=14916
ye xu 	也许	c=1 d=0.438235 t=16418
ye yao 	也要	c=1 d=1 t=16038
ye yi yang 	也一样	c=1 d=3.66232e-07 t=16418
ye you 	也有	c=2 d=0.000176892 t=16418
ye zai 	也在	c=1 d=1 t=14571
ye zi 	叶子	c=0 d=2.37008e-06 t=16418
ye zi qi 	叶子奇	c=2 d=5.74527e-05 t=16418
ye zong hui 	夜总会	c=1 d=1 t=5467
yi 	一	c=8 d=0.0561348 t=16418
yi 	以	c=11 d=0.0149553 t=16418
yi 	已	c=46 d=0.982606 t=16300
yi 	移	c=2 d=2.17244e-11 t=16418
yi ban 	一般	c=6 d=2.99122e-08 t=16418
yi bao 	怡保	c=1 d=1 t=11503
yi bei 	一杯	c=1 d=1 t=5799
yi bian 	一边	c=2 d=1.00001 t=9964
yi biao pan 	仪表盘	c=1 d=1.0209e-08 t=16418
yi bu 	一步	c=1 d=1 t=9430
yi bu fen 	一部分	c=2 d=1.94176 t=15397
yi chu 	已出	c=1 d=1 t=14733
yi ci 	一次	c=2 d=1 t=10513
yi da pian 	一大片	c=1 d=1 t=6112
yi dao 	一到	c=1 d=1 t=11996
yi dian 	一点	c=6 d=0.115052 t=16418
yi ding 	一定	c=0 d=6.31606e-08 t=16418
yi ding hui 	一定会	c=1 d=1.96063e-09 t=16418
yi dong 	移动	c=9 d=0.149006 t=16418
yi du 	已读	c=2 d=1.36972 t=11753
yi du 	遗毒	c=1 d=1 t=11553
yi duan 	一段	c=1 d=1 t=9054
yi duan shi jian 	一段时间	c=1 d=0.0105672 t=16418
yi dui 	一堆	c=1 d=1 t=5537
yi fang 	乙方	c=2 d=1.96561 t=15009
yi fang 	已放	c=11 d=3.25393 t=15124
yi fen 	一份	c=11 d=1 t=15907
yi fen 	一分	c=1 d=1 t=5653
yi fu 	衣服	c=0 d=0.00992613 t=16418
yi fu gai 	已覆盖	c=1 d=1 t=16301
yi ge 	一个	c=23 d=0.807335 t=16418
yi ge shi xi 	一个实习	c=1 d=1 t=6390
yi guan bi 	已关闭	c=2 d=1.94176 t=15063
yi gui 	衣柜	c=1 d=1 t=10865
yi hang 	一行	c=1 d=1 t=7169
yi hao 	一号	c=1 d=1 t=12994
yi he zhun 	已核准	c=2 d=1 t=16330
yi hou 	以后	c=3 d=1 t=13947
yi ji 	以及	c=5 d=0.000370582 t=16418
yi jian 	一件	c=1 d=1 t=6448
yi jian 	意见	c=3 d=1.00568 t=8801
yi jing 	已经	c=27 d=0.93872 t=16418
yi kan 	一看	c=1 d=1 t=5912
yi kuai 	一块	c=1 d=1 t=6161
yi lai 	以来	c=2 d=1 t=15496
yi lei 	一类	c=1 d=3.90827e-07 t=16418
yi liu 	遗留	c=1 d=0.23457 t=16418
yi lu 	一路	c=1 d=1 t=14554
yi lu 	已录	c=11 d=1.90548 t=16341
yi lu hao 	已录号	c=22 d=16.6909 t=13780
yi mi 	乙醚	c=2 d=1.99005 t=12837
yi miao 	疫苗	c=2 d=1.67368 t=12831
yi nian 	一年	c=3 d=1 t=16369
yi pai dan 	已派单	c=1 d=1 t=6869
yi pin 	一品	c=1 d=1 t=13176
yi qi 	一起	c=1 d=7.94939e-07 t=16418
yi qian 	一千	c=0 d=1.18305e-08 t=16418
yi qian 	以前	c=6 d=0.0725614 t=16418
yi qian wu 	一千五	c=1 d=1.18898e-07 t=16418
yi qin shi 	一寝室	c=1 d=7.2652e-07 t=16418
yi qing 	疫情	c=7 d=0.0306538 t=16418
yi qu 	一去	c=1 d=1 t=6422
yi quan 	一圈	c=1 d=1 t=13470
yi shang 	以上	c=2 d=1.71245e-05 t=16418
yi shen he 	已审核	c=2 d=1.00287 t=13023
yi si 	意思	c=4 d=1 t=12927
yi sou 	一搜	c=1 d=0.0409665 t=16418
yi tai 	一台	c=6 d=1.3413 t=9382
yi tian 	一天	c=1 d=1 t=4693
yi tian jia 	已添加	c=1 d=1 t=9692
yi tiao 	一条	c=1 d=1 t=16274
yi wan 	一万	c=1 d=1 t=9613
yi wan cheng 	已完成	c=8 d=1.00971 t=13770
yi wan gong 	已完工	c=2 d=1 t=13755
yi wang 	移网	c=10 d=1.09735 t=13070
yi wei 	以为	c=2 d=7.35471e-05 t=16418
yi wei 	意为	c=1 d=1.83662e-05 t=16418
yi xia 	一下	c=39 d=0.825835 t=16418
yi xia 	以下	c=4 d=7.15084e-05 t=16418
yi xiang 	一项	c=1 d=1 t=7889
yi xie 	一些	c=19 d=0.681486 t=16418
yi xiu gai 	已修改	c=1 d=1 t=10948
yi yan shou 	已验收	c=4 d=1.00002 t=16340
yi yang 	一样	c=3 d=0.826959 t=16418
yi ye 	一页	c=1 d=1 t=7854
yi you 	移优	c=1 d=1 t=7260
yi yuan 	一元	c=1 d=0.00279479 t=16418
yi yuan 	医院	c=1 d=1.03707 t=10130
yi yue 	一月	c=2 d=0.0587185 t=16418
yi zai 	已在	c=1 d=8.48471e-09 t=16418
yi zhang 	一张	c=1 d=1 t=8896
yi zhi 	一直	c=3 d=1 t=14579
yi zhi 	一致	c=1 d=1.29424e-05 t=16418
yi zhi 	已知	c=0 d=3.49331e-11 t=16418
yi zhi wen ti 	已知问题	c=1 d=3.51082e-10 t=16418
